"","Destination","cd_lod_type","Source","Ms_Yr","Ms_Per","weightTon","transport_type"
"1020","USNNS","1","CIABJ",2021,8,5683.75,"MAR"
"1021","ESSVQ","2","GHTEM",2020,8,8754.05,"MAR"
"1022","COTRB","5","CMDLA",2020,8,1982.01,"MAR"
"1023","GBSSS","9","GBSSS",2019,10,9076.1,"MAR"
"1024","SEYST","3","GBSSS",2022,1,6806.81,"MAR"
"1025","USNNS","2","DKNAK",2018,3,3062.41,"MAR"
"1026","GHTEM","3","ESSVQ",2022,5,2415.51,"MAR"
"1027","GBSSS","2","GBLOW",2020,9,7862.1,"MAR"
"1028","GHTEM","2","CRMOB",2021,2,5573.5,"MAR"
"1029","GBSSS","3","DOMAN",2022,3,7506.55,"MAR"
"1030","GBLOW","1","GBLOW",2018,7,2231.11,"MAR"
"1031","USNNS","2","ARSPD",2020,3,904.21,"MAR"
"1032","GBLOW","1","DKNAK",2021,3,3503.6,"MAR"
"1033","GBLOW","1","ARSPD",2019,11,2821.11,"MAR"
"1034","SEYST","2","GBSOU",2020,10,4865.11,"MAR"
"1035","CIABJ","6","GBSOU",2019,2,3462.97,"MAR"
"1036","ARSPD","6","DOMAN",2018,1,485.99,"MAR"
"1037","CMDLA","6","DKNAK",2022,12,3479.96,"MAR"
"1038","USNNS","1","DKNAK",2021,4,9410.62,"MAR"
"1039","BEANR","2","DOMAN",2019,10,2912.7,"MAR"
"1040","GBSSS","6","GBSSS",2018,8,7439.22,"MAR"
"1041","ARSPD","1","GBSSS",2018,5,6670.63,"MAR"
"1042","CIABJ","3","CIABJ",2022,6,7721.21,"MAR"
"1043","BEANR","2","CRMOB",2022,4,8030.84,"MAR"
"1044","CMDLA","3","DKNAK",2019,3,2765.72,"MAR"
"1045","SEYST","3","DKNAK",2018,9,2518.45,"MAR"
"1046","CMDLA","3","SEYST",2018,11,5233.63,"MAR"
"1047","GBLOW","6","COTRB",2022,8,8281.43,"MAR"
"1048","COTRB","6","USNNS",2018,9,659.14,"MAR"
"1049","ESSVQ","3","ARSPD",2021,11,6581.34,"MAR"
"1050","CIABJ","1","GBLOW",2022,3,7891.18,"MAR"
"1051","ESSVQ","9","GBLOW",2021,5,608.13,"MAR"
"1052","COTRB","5","DOMAN",2018,4,3080.83,"MAR"
"1053","CRMOB","3","GHTEM",2020,11,1859.79,"MAR"
"1054","GBLOW","5","GBSSS",2022,7,8018.79,"MAR"
"1055","GBSOU","1","GBSOU",2020,2,7088.43,"MAR"
"1056","ARSPD","1","CIABJ",2021,2,4533.9,"MAR"
"1057","SEYST","1","COTRB",2021,11,4495.61,"MAR"
"1058","CRMOB","6","COTRB",2019,12,9372.72,"MAR"
"1059","GBSSS","9","SEYST",2019,5,9774.42,"MAR"
"1060","SEYST","1","GBLOW",2019,4,3048.74,"MAR"
"1061","ARSPD","2","GBLOW",2021,3,5770.46,"MAR"
"1062","CRMOB","9","CIABJ",2020,1,5751.59,"MAR"
"1063","DOMAN","3","DOMAN",2020,8,529.58,"MAR"
"1064","USNNS","6","GHTEM",2021,4,1101.72,"MAR"
"1065","GBSSS","5","DKNAK",2020,2,9930.21,"MAR"
"1066","GBSSS","1","CMDLA",2021,1,3209.77,"MAR"
"1067","USNNS","5","CRMOB",2019,2,4034.02,"MAR"
"1068","GBSSS","1","GBSOU",2020,12,3420.85,"MAR"
"1069","GBSSS","3","GBSOU",2018,9,5353.6,"MAR"
"1070","CIABJ","6","CRMOB",2022,1,333.2,"MAR"
"1071","CIABJ","6","GBLOW",2021,3,6163.24,"MAR"
"1072","BEANR","9","BEANR",2019,6,3141.51,"MAR"
"1073","DKNAK","2","GBSOU",2020,10,5459.21,"MAR"
"1074","CRMOB","5","CRMOB",2021,2,2394.42,"MAR"
"1075","DOMAN","2","DKNAK",2018,10,7142.08,"MAR"
"1076","CMDLA","3","ESSVQ",2021,7,5480.11,"MAR"
"1077","BEANR","5","GHTEM",2019,6,8288.13,"MAR"
"1078","GBSOU","2","GBSSS",2022,8,1258.05,"MAR"
"1079","CMDLA","6","CMDLA",2019,6,604.35,"MAR"
"1080","GHTEM","9","DOMAN",2021,2,2638.6,"MAR"
"1081","GHTEM","2","GHTEM",2020,11,9209.43,"MAR"
"1082","CIABJ","6","CIABJ",2019,10,9115.86,"MAR"
"1083","CRMOB","5","CIABJ",2020,10,4992.98,"MAR"
"1084","CIABJ","1","GHTEM",2021,10,3873.8,"MAR"
"1085","GBSSS","5","ARSPD",2018,8,6334.5,"MAR"
"1086","GBSSS","2","USNNS",2021,8,8476.03,"MAR"
"1087","BEANR","1","GHTEM",2020,1,6532.31,"MAR"
"1088","ARSPD","9","COTRB",2019,4,7012.2,"MAR"
"1089","GHTEM","6","GHTEM",2021,8,1077.32,"MAR"
"1090","CMDLA","5","GHTEM",2019,4,6299.94,"MAR"
"1091","CIABJ","9","BEANR",2020,12,3633.8,"MAR"
"1092","COTRB","9","CRMOB",2022,9,3479.16,"MAR"
"1093","SEYST","9","USNNS",2022,6,4487.49,"MAR"
"1094","CIABJ","2","CRMOB",2022,1,7203.9,"MAR"
"1095","GBSOU","2","BEANR",2020,12,5603.94,"MAR"
"1096","BEANR","5","ARSPD",2022,5,2326.04,"MAR"
"1097","ESSVQ","9","GHTEM",2021,6,3957.58,"MAR"
"1098","SEYST","5","ARSPD",2022,3,1506.57,"MAR"
"1099","ARSPD","2","DOMAN",2021,4,3129.5,"MAR"
"1100","DKNAK","6","COTRB",2020,8,3626.57,"MAR"
"1101","GBSSS","1","GBSOU",2021,11,7873.63,"MAR"
"1102","GBLOW","3","GBSSS",2018,8,3361.26,"MAR"
"1103","CIABJ","3","CRMOB",2019,2,7089.51,"MAR"
"1104","ARSPD","3","DKNAK",2018,12,6801.53,"MAR"
"1105","CIABJ","6","GBLOW",2021,3,3270,"MAR"
"1106","ESSVQ","6","GBSOU",2020,3,2328.58,"MAR"
"1107","CIABJ","6","GBSOU",2019,12,9680.82,"MAR"
"1108","GHTEM","3","ARSPD",2022,12,1329.61,"MAR"
"1109","GBSOU","3","CIABJ",2021,11,1599.28,"MAR"
"1110","GBLOW","2","ESSVQ",2020,10,1765.03,"MAR"
"1111","BEANR","5","COTRB",2022,7,6595.13,"MAR"
"1112","CMDLA","5","DOMAN",2018,6,7233.42,"MAR"
"1113","SEYST","3","SEYST",2022,3,1173.11,"MAR"
"1114","DKNAK","6","SEYST",2019,5,6849.73,"MAR"
"1115","DKNAK","1","BEANR",2018,8,6949.49,"MAR"
"1116","USNNS","3","CRMOB",2020,6,7064.23,"MAR"
"1117","CMDLA","2","GBSOU",2022,4,234.43,"MAR"
"1118","ESSVQ","9","GBSSS",2022,7,1085.58,"MAR"
"1119","GHTEM","6","ARSPD",2018,10,529.6,"MAR"
"1120","SEYST","1","ESSVQ",2022,2,8548.46,"MAR"
"1121","SEYST","1","ARSPD",2022,2,6359.79,"MAR"
"1122","GBSOU","1","GHTEM",2019,10,4546.51,"MAR"
"1123","GHTEM","5","SEYST",2021,8,6190.8,"MAR"
"1124","DOMAN","6","CMDLA",2019,4,7733.95,"MAR"
"1125","ESSVQ","3","SEYST",2021,2,7918.8,"MAR"
"1126","USNNS","2","GBLOW",2022,11,5761.82,"MAR"
"1127","GBSSS","1","DOMAN",2019,9,7318.27,"MAR"
"1128","CMDLA","1","GHTEM",2018,7,7090.73,"MAR"
"1129","CRMOB","6","DOMAN",2018,4,8469.92,"MAR"
"1130","SEYST","5","ESSVQ",2019,2,4437.56,"MAR"
"1131","DOMAN","5","COTRB",2019,12,6124.12,"MAR"
"1132","DOMAN","2","DOMAN",2019,8,382.62,"MAR"
"1133","CRMOB","1","SEYST",2018,3,408.25,"MAR"
"1134","GBSOU","9","COTRB",2019,12,6884.88,"MAR"
"1135","DKNAK","6","DKNAK",2018,8,3991.27,"MAR"
"1136","CMDLA","1","CMDLA",2018,6,4491.82,"MAR"
"1137","DOMAN","1","USNNS",2022,1,7722.85,"MAR"
"1138","ESSVQ","5","GBSSS",2018,8,3235.22,"MAR"
"1139","DOMAN","1","GBSSS",2018,2,5863.92,"MAR"
"1140","DOMAN","9","DKNAK",2019,8,9908.53,"MAR"
"1141","DOMAN","6","GBSSS",2022,6,2135.58,"MAR"
"1142","SEYST","3","CIABJ",2018,4,1288.16,"MAR"
"1143","GBSSS","9","GBLOW",2021,11,4313.27,"MAR"
"1144","ESSVQ","2","DKNAK",2018,9,5307.09,"MAR"
"1145","DKNAK","9","GBLOW",2019,10,1289.48,"MAR"
"1146","CIABJ","1","CRMOB",2019,11,4550.9,"MAR"
"1147","DOMAN","9","COTRB",2022,4,6632.05,"MAR"
"1148","GBSSS","6","ARSPD",2020,12,4364.61,"MAR"
"1149","CRMOB","1","SEYST",2022,9,1034.95,"MAR"
"1150","CRMOB","6","ARSPD",2020,1,8519.59,"MAR"
"1151","CIABJ","6","ESSVQ",2020,11,2944.02,"MAR"
"1152","ARSPD","5","DKNAK",2019,6,2429.3,"MAR"
"1153","GBSOU","5","DOMAN",2022,1,2402.56,"MAR"
"1154","CIABJ","3","DKNAK",2020,2,3126.59,"MAR"
"1155","COTRB","9","COTRB",2018,12,9999.66,"MAR"
"1156","GBSSS","9","ESSVQ",2020,10,9262.58,"MAR"
"1157","ARSPD","2","BEANR",2021,6,9828.93,"MAR"
"1158","COTRB","3","CRMOB",2018,8,745.24,"MAR"
"1159","CRMOB","3","SEYST",2020,11,1883.9,"MAR"
"1160","USNNS","3","SEYST",2018,12,1468.46,"MAR"
"1161","BEANR","6","GBLOW",2019,4,4968.52,"MAR"
"1162","GBSOU","3","BEANR",2022,3,9828.72,"MAR"
"1163","CRMOB","1","GBSSS",2022,1,430.23,"MAR"
"1164","GHTEM","9","USNNS",2019,7,1617.63,"MAR"
"1165","GBSOU","6","GBLOW",2021,11,9907.93,"MAR"
"1166","GHTEM","2","DKNAK",2019,6,5956.77,"MAR"
"1167","ESSVQ","2","GHTEM",2021,11,7377.73,"MAR"
"1168","CMDLA","6","GBSSS",2021,2,8933.15,"MAR"
"1169","CMDLA","3","ESSVQ",2021,12,4610.9,"MAR"
"1170","ARSPD","2","ESSVQ",2018,8,8333.31,"MAR"
"1171","GHTEM","2","COTRB",2019,5,5554.71,"MAR"
"1172","ESSVQ","1","CMDLA",2018,10,892.22,"MAR"
"1173","DKNAK","2","COTRB",2018,2,5827.98,"MAR"
"1174","COTRB","2","GBSSS",2020,5,3062.46,"MAR"
"1175","CMDLA","9","BEANR",2021,6,304.04,"MAR"
"1176","SEYST","2","ESSVQ",2019,7,8491.1,"MAR"
"1177","SEYST","3","CRMOB",2019,8,8182.34,"MAR"
"1178","GBLOW","3","CRMOB",2021,10,7580.27,"MAR"
"1179","USNNS","9","CIABJ",2019,9,6565.24,"MAR"
"1180","GBSSS","6","GBSSS",2018,5,4116.28,"MAR"
"1181","CRMOB","3","GBSSS",2019,3,1675.45,"MAR"
"1182","USNNS","2","DKNAK",2022,12,9710.77,"MAR"
"1183","BEANR","1","ESSVQ",2020,3,3422.83,"MAR"
"1184","SEYST","2","CRMOB",2019,7,5240.51,"MAR"
"1185","DOMAN","3","GHTEM",2022,1,4900.15,"MAR"
"1186","GBSSS","1","BEANR",2020,5,2368.37,"MAR"
"1187","DOMAN","1","GBSSS",2022,2,3048,"MAR"
"1188","DOMAN","9","BEANR",2022,7,2059.13,"MAR"
"1189","ARSPD","9","DOMAN",2020,1,4629.77,"MAR"
"1190","GBLOW","5","COTRB",2020,1,2266.04,"MAR"
"1191","DOMAN","3","GHTEM",2020,3,4077.21,"MAR"
"1192","DOMAN","3","DOMAN",2018,6,3239.76,"MAR"
"1193","CMDLA","9","GBSOU",2021,11,3910.16,"MAR"
"1194","USNNS","6","GBLOW",2020,5,8428.73,"MAR"
"1195","DKNAK","6","BEANR",2018,6,4340.51,"MAR"
"1196","BEANR","5","GBLOW",2021,6,2591.83,"MAR"
"1197","GHTEM","2","CMDLA",2020,11,2376.15,"MAR"
"1198","CMDLA","2","GBSSS",2019,6,9203.24,"MAR"
"1199","CMDLA","9","DOMAN",2021,8,203.91,"MAR"
"1200","GBSSS","1","USNNS",2018,4,6089.39,"MAR"
"1201","GBLOW","2","ARSPD",2018,6,5939.92,"MAR"
"1202","CRMOB","1","COTRB",2018,1,8363.5,"MAR"
"1203","CIABJ","6","GBSSS",2018,8,4600.49,"MAR"
"1204","GBSSS","3","GBSOU",2019,9,4767.1,"MAR"
"1205","GBSOU","3","CIABJ",2022,9,7083.35,"MAR"
"1206","GBSSS","1","SEYST",2020,6,8080.76,"MAR"
"1207","DOMAN","2","USNNS",2018,9,1874.9,"MAR"
"1208","GHTEM","6","COTRB",2021,5,7963.16,"MAR"
"1209","GBLOW","1","ARSPD",2021,4,8016.59,"MAR"
"1210","GBLOW","6","GBSSS",2019,5,5295,"MAR"
"1211","ARSPD","1","DKNAK",2020,12,2093,"MAR"
"1212","ARSPD","5","CIABJ",2019,8,5117.87,"MAR"
"1213","CRMOB","2","GHTEM",2018,7,2073.75,"MAR"
"1214","DKNAK","2","ARSPD",2022,12,2824.82,"MAR"
"1215","GBSSS","3","GBSSS",2022,9,6875.81,"MAR"
"1216","GHTEM","3","USNNS",2022,5,603.28,"MAR"
"1217","COTRB","2","GBSSS",2018,10,3941.49,"MAR"
"1218","ARSPD","5","CIABJ",2022,5,8437.07,"MAR"
"1219","CMDLA","3","COTRB",2021,4,1866.61,"MAR"
"1220","GBSSS","3","CMDLA",2019,8,4615.77,"MAR"
"1221","GBSOU","6","CIABJ",2018,2,8291.3,"MAR"
"1222","ESSVQ","3","SEYST",2019,3,5396.44,"MAR"
"1223","SEYST","3","USNNS",2020,10,8341.86,"MAR"
"1224","ARSPD","1","ESSVQ",2020,2,9151.14,"MAR"
"1225","COTRB","2","BEANR",2018,4,4483.84,"MAR"
"1226","SEYST","1","GBSOU",2022,11,9602.12,"MAR"
"1227","ARSPD","6","SEYST",2018,6,6923.76,"MAR"
"1228","GHTEM","2","GHTEM",2021,4,8469.36,"MAR"
"1229","CRMOB","2","GBSOU",2019,6,7598.3,"MAR"
"1230","CRMOB","9","CIABJ",2019,3,4765.1,"MAR"
"1231","GBLOW","5","ARSPD",2018,5,3573.61,"MAR"
"1232","SEYST","6","ARSPD",2018,2,6475.55,"MAR"
"1233","BEANR","1","GBSSS",2020,3,3790.78,"MAR"
"1234","CRMOB","1","CRMOB",2019,3,2293.78,"MAR"
"1235","BEANR","9","GBLOW",2022,11,8799.18,"MAR"
"1236","BEANR","6","GBSOU",2020,3,5660.54,"MAR"
"1237","ESSVQ","9","CMDLA",2020,10,6044.24,"MAR"
"1238","SEYST","9","COTRB",2020,1,9290.08,"MAR"
"1239","DOMAN","9","CMDLA",2018,4,7617.36,"MAR"
"1240","GBLOW","3","GBLOW",2020,2,6897.69,"MAR"
"1241","USNNS","5","COTRB",2020,3,5267.98,"MAR"
"1242","DOMAN","6","ESSVQ",2018,1,7423.3,"MAR"
"1243","ARSPD","3","USNNS",2020,8,8123.16,"MAR"
"1244","ARSPD","1","CMDLA",2020,8,3354.07,"MAR"
"1245","GBSSS","9","USNNS",2019,9,8476.6,"MAR"
"1246","GBLOW","2","COTRB",2018,4,7124.03,"MAR"
"1247","CRMOB","9","GHTEM",2018,7,6750.89,"MAR"
"1248","GBLOW","1","CRMOB",2021,6,4005.17,"MAR"
"1249","GBSSS","5","DOMAN",2022,7,8519.14,"MAR"
"1250","GHTEM","1","GBSOU",2021,2,8079.07,"MAR"
"1251","ESSVQ","6","SEYST",2018,12,8945.46,"MAR"
"1252","ESSVQ","6","ESSVQ",2020,6,378.87,"MAR"
"1253","CIABJ","2","CRMOB",2018,4,1587.53,"MAR"
"1254","CMDLA","9","CMDLA",2021,3,3143.67,"MAR"
"1255","SEYST","2","CMDLA",2021,7,3489.75,"MAR"
"1256","CMDLA","9","COTRB",2018,8,7840.06,"MAR"
"1257","COTRB","9","DKNAK",2020,11,7249.51,"MAR"
"1258","SEYST","2","SEYST",2018,8,153.95,"MAR"
"1259","ARSPD","5","USNNS",2018,11,769.42,"MAR"
"1260","USNNS","6","SEYST",2021,3,2893.08,"MAR"
"1261","COTRB","1","ESSVQ",2020,5,1697.1,"MAR"
"1262","GBSOU","1","SEYST",2018,1,6670,"MAR"
"1263","USNNS","2","USNNS",2021,7,9345.73,"MAR"
"1264","DKNAK","2","CMDLA",2018,5,5015.56,"MAR"
"1265","GBLOW","6","ARSPD",2020,10,9742.84,"MAR"
"1266","GBSOU","9","GBSSS",2022,9,5481.72,"MAR"
"1267","BEANR","5","CMDLA",2018,12,7917.04,"MAR"
"1268","DKNAK","3","CRMOB",2019,5,9448.72,"MAR"
"1269","SEYST","1","USNNS",2022,5,2953.8,"MAR"
"1270","USNNS","6","GBSSS",2018,3,8538.03,"MAR"
"1271","SEYST","9","GBSSS",2018,7,9679.89,"MAR"
"1272","ARSPD","5","CRMOB",2019,10,1520.28,"MAR"
"1273","SEYST","9","DOMAN",2020,4,2625.13,"MAR"
"1274","COTRB","1","CIABJ",2021,6,685.66,"MAR"
"1275","GBSOU","2","GBSSS",2019,7,2844.67,"MAR"
"1276","USNNS","1","COTRB",2018,9,4327.53,"MAR"
"1277","CMDLA","6","CRMOB",2019,6,2382.22,"MAR"
"1278","USNNS","5","COTRB",2018,2,899.28,"MAR"
"1279","COTRB","2","BEANR",2020,1,1490.05,"MAR"
"1280","SEYST","5","GHTEM",2020,4,2073.5,"MAR"
"1281","ARSPD","3","CMDLA",2020,10,4354.78,"MAR"
"1282","GBLOW","9","ARSPD",2020,4,8861.35,"MAR"
"1283","DKNAK","2","ARSPD",2018,8,7996.64,"MAR"
"1284","DKNAK","3","USNNS",2022,4,9213.89,"MAR"
"1285","GBSSS","6","BEANR",2020,1,3428.69,"MAR"
"1286","GBLOW","2","SEYST",2018,4,9710.28,"MAR"
"1287","CIABJ","3","BEANR",2019,3,7113.42,"MAR"
"1288","GBSSS","3","CIABJ",2018,1,2606.84,"MAR"
"1289","GBSSS","2","GBSSS",2022,1,1588.42,"MAR"
"1290","CIABJ","3","BEANR",2018,7,5125.8,"MAR"
"1291","DKNAK","3","GBSOU",2020,4,5106.05,"MAR"
"1292","GBLOW","2","USNNS",2019,4,7221.93,"MAR"
"1293","SEYST","2","DKNAK",2021,12,6147.43,"MAR"
"1294","CMDLA","2","CMDLA",2022,5,4482.09,"MAR"
"1295","SEYST","9","BEANR",2022,10,1806.33,"MAR"
"1296","ARSPD","3","CRMOB",2021,10,6990.11,"MAR"
"1297","ARSPD","1","CIABJ",2021,1,2855.13,"MAR"
"1298","SEYST","1","USNNS",2018,2,1489.77,"MAR"
"1299","DKNAK","2","COTRB",2018,7,597.77,"MAR"
"1300","DOMAN","2","BEANR",2019,1,7415.18,"MAR"
"1301","GBSSS","3","DOMAN",2018,1,6074.63,"MAR"
"1302","CIABJ","5","COTRB",2019,1,7120.61,"MAR"
"1303","USNNS","9","GBLOW",2018,5,268.7,"MAR"
"1304","GHTEM","2","SEYST",2022,3,9277.05,"MAR"
"1305","ESSVQ","3","ESSVQ",2020,10,5874.71,"MAR"
"1306","SEYST","9","CIABJ",2020,6,9550.54,"MAR"
"1307","GBSSS","1","CRMOB",2021,7,1623.49,"MAR"
"1308","USNNS","2","BEANR",2022,3,6610.11,"MAR"
"1309","DOMAN","9","SEYST",2020,6,3416.76,"MAR"
"1310","CIABJ","3","GBSOU",2018,2,3355.29,"MAR"
"1311","BEANR","1","SEYST",2018,4,2375.11,"MAR"
"1312","GBSSS","1","COTRB",2018,6,7371.31,"MAR"
"1313","CMDLA","6","SEYST",2018,12,6516.99,"MAR"
"1314","DOMAN","2","ARSPD",2019,6,1417.71,"MAR"
"1315","SEYST","3","CRMOB",2018,6,3153.1,"MAR"
"1316","GHTEM","6","DKNAK",2018,6,2228.27,"MAR"
"1317","GBSOU","5","DKNAK",2021,12,8381.54,"MAR"
"1318","DOMAN","9","CIABJ",2022,4,9100.36,"MAR"
"1319","ARSPD","5","CIABJ",2021,6,4570.44,"MAR"
"1320","ESSVQ","3","CIABJ",2021,11,2217.28,"MAR"
"1321","USNNS","3","BEANR",2020,3,3723.43,"MAR"
"1322","CMDLA","5","SEYST",2021,12,5494.62,"MAR"
"1323","DOMAN","1","CMDLA",2018,10,5796.87,"MAR"
"1324","DKNAK","6","DKNAK",2022,5,2209.52,"MAR"
"1325","CMDLA","2","CMDLA",2018,11,7852.54,"MAR"
"1326","CMDLA","3","ESSVQ",2018,8,2780.75,"MAR"
"1327","DKNAK","3","USNNS",2018,11,7276.7,"MAR"
"1328","GBSOU","5","USNNS",2021,6,5735.66,"MAR"
"1329","GBSOU","1","ESSVQ",2022,11,1430.52,"MAR"
"1330","ARSPD","2","DOMAN",2022,5,2447.92,"MAR"
"1331","CRMOB","1","ESSVQ",2021,8,340.3,"MAR"
"1332","USNNS","6","SEYST",2018,7,8128.69,"MAR"
"1333","GBSOU","1","CIABJ",2019,8,7588.09,"MAR"
"1334","CIABJ","1","DKNAK",2019,8,1761.51,"MAR"
"1335","ARSPD","1","ESSVQ",2021,4,9424.43,"MAR"
"1336","ARSPD","3","SEYST",2018,8,3154.83,"MAR"
"1337","DOMAN","9","CIABJ",2018,11,3939.24,"MAR"
"1338","ARSPD","3","DOMAN",2021,5,577.17,"MAR"
"1339","ESSVQ","5","DKNAK",2020,9,327.6,"MAR"
"1340","USNNS","1","ESSVQ",2021,3,6246.53,"MAR"
"1341","CIABJ","2","ARSPD",2020,9,1188.55,"MAR"
"1342","DOMAN","6","USNNS",2018,2,9551.68,"MAR"
"1343","USNNS","9","GBLOW",2020,10,4607.92,"MAR"
"1344","GBSSS","3","SEYST",2020,3,7271.42,"MAR"
"1345","GBSSS","6","GBSOU",2018,11,5498.15,"MAR"
"1346","DKNAK","2","GBSSS",2021,3,1132.25,"MAR"
"1347","CIABJ","2","CIABJ",2020,12,8843.08,"MAR"
"1348","USNNS","9","GHTEM",2022,5,8880.93,"MAR"
"1349","ARSPD","6","CRMOB",2022,8,6558.59,"MAR"
"1350","BEANR","2","GHTEM",2018,12,8106.76,"MAR"
"1351","GBSSS","6","GHTEM",2018,11,3270.37,"MAR"
"1352","GHTEM","1","DKNAK",2022,5,6750.25,"MAR"
"1353","ARSPD","9","SEYST",2022,7,7686.14,"MAR"
"1354","GBSSS","2","SEYST",2022,1,3877.69,"MAR"
"1355","USNNS","3","GBSOU",2022,5,3703.27,"MAR"
"1356","USNNS","5","CMDLA",2022,4,1245.71,"MAR"
"1357","DKNAK","1","CMDLA",2018,12,7784.46,"MAR"
"1358","BEANR","1","GBSSS",2022,6,2146.21,"MAR"
"1359","GBSSS","6","DOMAN",2018,4,3470.65,"MAR"
"1360","GBSSS","1","BEANR",2020,4,1062.25,"MAR"
"1361","DOMAN","6","GBSOU",2021,12,6521.4,"MAR"
"1362","USNNS","6","GBLOW",2021,5,1340.93,"MAR"
"1363","CRMOB","6","CMDLA",2020,2,4319.96,"MAR"
"1364","ARSPD","2","GBSSS",2019,11,1509.99,"MAR"
"1365","SEYST","2","ARSPD",2022,3,1023.87,"MAR"
"1366","CRMOB","3","BEANR",2020,5,2009.06,"MAR"
"1367","SEYST","3","CRMOB",2019,6,5992.17,"MAR"
"1368","CMDLA","1","SEYST",2022,7,4099.01,"MAR"
"1369","BEANR","2","CMDLA",2019,8,3307.99,"MAR"
"1370","CMDLA","9","DKNAK",2019,10,6832.95,"MAR"
"1371","DOMAN","6","CIABJ",2022,9,313.19,"MAR"
"1372","ARSPD","6","DKNAK",2021,12,665.11,"MAR"
"1373","ARSPD","2","ARSPD",2022,8,6639.23,"MAR"
"1374","GBSSS","6","ARSPD",2021,7,392.17,"MAR"
"1375","USNNS","9","GBLOW",2022,5,5423.82,"MAR"
"1376","GBSOU","6","CIABJ",2019,2,8775.55,"MAR"
"1377","BEANR","1","DOMAN",2021,2,5145.7,"MAR"
"1378","CRMOB","3","DOMAN",2022,12,8433.57,"MAR"
"1379","CIABJ","9","SEYST",2021,10,1737.51,"MAR"
"1380","DKNAK","6","GBSOU",2022,11,217.28,"MAR"
"1381","USNNS","3","GBSSS",2021,8,6558.13,"MAR"
"1382","GHTEM","9","GBSSS",2020,11,1507.98,"MAR"
"1383","CMDLA","2","GBSOU",2018,3,5334.07,"MAR"
"1384","CRMOB","5","GBSSS",2019,11,8807.85,"MAR"
"1385","DKNAK","9","ESSVQ",2018,10,1723.28,"MAR"
"1386","ARSPD","1","ESSVQ",2022,7,9046.05,"MAR"
"1387","SEYST","9","BEANR",2022,10,3751.4,"MAR"
"1388","BEANR","6","SEYST",2022,9,19.73,"MAR"
"1389","GBSOU","1","GBSSS",2020,5,8933.14,"MAR"
"1390","CRMOB","9","CIABJ",2022,9,4990.8,"MAR"
"1391","ESSVQ","5","CMDLA",2020,12,6939.55,"MAR"
"1392","CIABJ","1","ESSVQ",2022,3,6935.9,"MAR"
"1393","CMDLA","6","BEANR",2021,4,9105.44,"MAR"
"1394","ARSPD","9","DOMAN",2018,9,3732.44,"MAR"
"1395","USNNS","1","ARSPD",2019,12,4177.4,"MAR"
"1396","ARSPD","1","GBLOW",2021,9,2078.54,"MAR"
"1397","CMDLA","1","CMDLA",2022,2,1093.72,"MAR"
"1398","CIABJ","6","DOMAN",2022,11,751.54,"MAR"
"1399","COTRB","6","GBSOU",2021,9,8779.54,"MAR"
"1400","GBSSS","5","USNNS",2019,7,2801.23,"MAR"
"1401","ESSVQ","5","GBSOU",2019,7,8767.48,"MAR"
"1402","CIABJ","3","CMDLA",2018,6,2129.16,"MAR"
"1403","DKNAK","3","CMDLA",2019,8,9215.08,"MAR"
"1404","ARSPD","2","DOMAN",2021,7,2978.76,"MAR"
"1405","BEANR","1","GBSSS",2019,7,3368.9,"MAR"
"1406","BEANR","5","GBSSS",2019,5,4960.01,"MAR"
"1407","DKNAK","2","COTRB",2022,11,6574.36,"MAR"
"1408","SEYST","3","GBSOU",2019,9,2891.63,"MAR"
"1409","ESSVQ","6","SEYST",2019,8,732.93,"MAR"
"1410","SEYST","2","DOMAN",2021,9,5754.61,"MAR"
"1411","ARSPD","6","DKNAK",2019,9,6910.45,"MAR"
"1412","GBLOW","5","CRMOB",2019,10,9457.92,"MAR"
"1413","GHTEM","2","DOMAN",2021,11,1165.61,"MAR"
"1414","CRMOB","1","CRMOB",2020,5,931.2,"MAR"
"1415","SEYST","5","BEANR",2018,12,7994.31,"MAR"
"1416","GHTEM","1","CIABJ",2018,12,1040.08,"MAR"
"1417","CRMOB","6","USNNS",2020,3,8492.08,"MAR"
"1418","CRMOB","5","GBLOW",2020,10,8759.03,"MAR"
"1419","DKNAK","9","CIABJ",2021,3,5292.03,"MAR"
"1420","DOMAN","3","GHTEM",2018,8,2650.05,"MAR"
"1421","CIABJ","9","DOMAN",2022,1,424,"MAR"
"1422","BEANR","1","GBSOU",2022,9,1869.99,"MAR"
"1423","DKNAK","6","GBSOU",2018,1,6404.52,"MAR"
"1424","SEYST","2","ARSPD",2020,12,1845.14,"MAR"
"1425","GBSOU","2","CMDLA",2021,3,8402.1,"MAR"
"1426","GBLOW","2","ARSPD",2018,7,9264.39,"MAR"
"1427","BEANR","3","GHTEM",2019,4,6259.74,"MAR"
"1428","GBSSS","3","ARSPD",2019,4,4006.05,"MAR"
"1429","BEANR","9","BEANR",2022,9,7594.73,"MAR"
"1430","CIABJ","6","GHTEM",2020,12,6740.7,"MAR"
"1431","SEYST","5","CIABJ",2022,3,6984.95,"MAR"
"1432","GBLOW","1","CIABJ",2021,3,6501.7,"MAR"
"1433","GHTEM","9","ESSVQ",2018,1,4119.16,"MAR"
"1434","ARSPD","9","GBSOU",2021,7,3351.58,"MAR"
"1435","SEYST","1","GHTEM",2018,6,5097.12,"MAR"
